/* DATA DESCRIPTION:
Citation:	Hodell, David A; Charles, Christopher D; Curtis, Jason H; Mortyn, P Graham; Ninnemann, Ulysses S; Venz, Kathryn A (2003): (Table T2) Stable oxygen and carbon isotope ratios of the benthic and planktonic foraminifera, carbonate content, and percent fragmentation of planktonic foraminifers for ODP Site 177-1089 in the Southern Ocean [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.218128, 
	In supplement to: Hodell, DA et al. (2003): Data Report: Oxygen isotope stratigraphy of ODP Leg 117 sites 1088, 1089, 1090, 1093, and 1094. In: Gersonde, R; Hodell, DA; Blum, P (eds.) Proceedings of the Ocean Drilling Program, Scientific Results, College Station, TX (Ocean Drilling Program), 177, 1-26, https://doi.org/10.2973/odp.proc.sr.177.120.2003
Project(s):	Ocean Drilling Program (ODP) (URI: https://www-odp.tamu.edu:443/)
Coverage:	LATITUDE: -40.936333 * LONGITUDE: 9.893983
	DATE/TIME START: 1997-12-19T00:00:00 * DATE/TIME END: 1997-12-19T00:00:00
	MINIMUM DEPTH, sediment/rock: -0.19 m * MAXIMUM DEPTH, sediment/rock: 94.94 m
Event(s):	177-1089 * LATITUDE: -40.936333 * LONGITUDE: 9.893983 * DATE/TIME: 1997-12-19T00:00:00 * ELEVATION: -4620.5 m * PENETRATION: 793.6 m * RECOVERY: 675.9 m * LOCATION: South Atlantic Ocean * CAMPAIGN: Leg177 * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 86 cores; 791.6 m cored; 2 m drilled; 85.4% recovery
Comment:	Depth is modified composite depth (mcd). Stable isotope analyses were conducted at the University of Florida (UF) Hole C, and Scripps Institution of Oceanography (SIO) Hole A and B. Carbonate contenet and fragmentation determined at the Unifersity of Florida (UF).
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Sample code/label (Sample label) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: DSDP/ODP/IODP sample designation (URI: hdl:10013/epic.27914.d001)
	Globigerina bulloides, δ18O [‰ PDB] (G. bulloides δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
	Globigerina bulloides, δ13C [‰ PDB] (G. bulloides δ13C) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
	Cibicidoides spp., δ18O [‰ PDB] (Cibicidoides spp. δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
	Cibicidoides spp., δ13C [‰ PDB] (Cibicidoides spp. δ13C) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
	Calcium carbonate [%] (CaCO3) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Coulometric titration (Knap et al., 1996, IOC Manuals and Guides 29, UNESCO) (URI: hdl:10013/epic.27912.d001)
	Foraminifera, planktic, fragments [%] (Foram plankt fragm) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	9893 data points
*/
Depth sed [m]	Age [ka BP]	Sample label	G. bulloides δ18O [‰ PDB]	G. bulloides δ13C [‰ PDB]	Cibicidoides spp. δ18O [‰ PDB]	Cibicidoides spp. δ13C [‰ PDB]	CaCO3 [%]	Foram plankt fragm [%]
38.57	265.44	177-1089C-5-2,5-6.5	3.00	0.07	3.85	-0.85	48.4	42.5
38.62	265.71	177-1089C-5-2,10-11.5	2.83	-0.13	3.74	-0.48	53.5	
38.67	265.97	177-1089C-5-2,15-16.5	2.87	-0.26	3.79	-0.66	49.8	
38.72	266.24	177-1089C-5-2,20-21.5	2.96	-0.13	3.83	-0.59	45.9	
38.77	266.51	177-1089C-5-2,25-26.5	3.01	-0.03	3.84	-0.95	46.3	60.8
38.82	266.77	177-1089C-5-2,30-31.5	2.63	-0.48	4.10	-1.15	45.7	
38.87	267.04	177-1089C-5-2,35-36.5	3.03	0.02	3.72	-0.92	48.8	
38.92	267.31	177-1089C-5-2,40-41.5	2.77	-0.14	3.84	-0.78	47.9	
38.97	267.57	177-1089C-5-2,45-46.5	3.07	-0.11	3.83	-0.91	48.6	35.4
39.02	267.84	177-1089C-5-2,50-51.5			3.89	-1.13	47.8	
39.07	268.11	177-1089C-5-2,55-56.5	2.98	-0.08	3.86	-0.66	48.9	
39.12	268.37	177-1089C-5-2,60-61.5	3.06	-0.03	3.92	-0.52	48.8	
39.17	268.64	177-1089C-5-2,65-66.5	3.08	-0.30	3.99	-1.00	45.4	28.8
39.22	268.91	177-1089C-5-2,70-71.5	3.12	0.02	3.88	-0.93	43.3	
39.27	269.17	177-1089C-5-2,75-76.5	2.95	-0.49	3.86	-0.81	47.3	
39.32	269.44	177-1089C-5-2,80-81.5	2.74	-0.72	3.87	-0.68	49.3	
39.37	269.71	177-1089C-5-2,85-86.5	3.00	-0.48	3.86	-0.79	40.9	40.5
39.42	269.97	177-1089C-5-2,90-91.5	3.21	0.16	4.06	-0.75	48.3	
39.47	270.24	177-1089C-5-2,95-96.5	3.28	-0.01	3.69	-0.69	44.0	
39.52	270.51	177-1089C-5-2,100-101.5	3.15	-0.33	3.77	-1.21	39.0	
39.57	270.77	177-1089C-5-2,105-106.5	3.19	-0.29			35.2	46.0
39.62	271.04	177-1089C-5-2,110-111.5	2.96	-0.22	3.66	-1.27	29.3	
39.67	271.31	177-1089C-5-2,115-116.5			3.86	-0.97	29.0	
39.72	271.57	177-1089C-5-2,120-121.5	2.86	-0.87	3.87	-1.20	27.5	
39.77	271.84	177-1089C-5-2,125-126.5	2.87	-0.79	3.82	-1.26	26.8	30.1
39.82	272.11	177-1089C-5-2,130-131.5	2.81	-0.49	3.75	-1.43	18.3	
39.87	272.37	177-1089C-5-2,135-136.5	2.58	-0.83	3.87	-1.30	15.4	
39.92	272.64	177-1089C-5-2,140-141.5	2.90	-0.25	3.86	-1.68	10.3	
39.97	272.91	177-1089C-5-2,145-145.5	2.85	-0.61	3.82	-1.68	10.2	46.9
40.11	273.65	177-1089B-5-2,15-16.5	2.82	-0.14	3.91	-1.26	5.6	
40.20	274.13	177-1089B-5-2,24-25.5	2.78	-0.34	3.88	-1.14	5.3	35.2
40.26	274.45	177-1089B-5-2,30-31.5			3.88	-1.01	6.8	
40.30	274.67	177-1089B-5-2,34-35.5	2.92	-0.35	3.86	-1.54	7.8	
40.36	274.99	177-1089B-5-2,40-41.5			3.86	-1.37	8.9	
40.40	275.20	177-1089B-5-2,44-45.5	2.89	-0.13	3.87	-1.63	7.5	36.3
40.46	275.52	177-1089B-5-2,50-51.5	2.74	-0.21	3.97	-1.71	8.9	
40.51	275.79	177-1089B-5-2,55-56.5	2.93	0.12			10.5	
40.56	276.05	177-1089B-5-2,60-61.5	2.58	-0.59	3.81	-1.30	8.8	
40.60	276.27	177-1089B-5-2,64-65.5			3.88	-1.09	4.8	5.4
40.66	276.59	177-1089B-5-2,70-71.5	2.66	-0.12			3.7	
40.70	276.80	177-1089B-5-2,74-75.5			3.72	-1.38	5.6	
40.76	277.12	177-1089B-5-2,80-81.5			3.67	-0.27	7.8	
40.80	277.33	177-1089B-5-2,84-85.5			3.86	-1.02	7.7	16.6
40.86	277.65	177-1089B-5-2,90-91.5			3.59	-0.76	4.7	
40.90	277.87	177-1089B-5-2,94-95.5	2.39	-0.15	3.70	-0.95	1.9	
40.96	278.19	177-1089B-5-2,100-101.5					1.5	
41.01	278.45	177-1089B-5-2,105-106.5					0.4	30.8
41.06	278.72	177-1089B-5-2,110-111.5					0.6	
41.10	278.93	177-1089B-5-2,114-115.5					1.2	
41.16	279.25	177-1089B-5-2,120-121.5			3.69	-1.20	2.1	
41.20	279.47	177-1089B-5-2,124-125.5					0.6	18.4
41.26	279.79	177-1089B-5-2,130-131.5					0.0	
41.30	280.00	177-1089B-5-2,134-135.5			3.59	-0.87	0.8	
41.36	280.32	177-1089B-5-2,140-141.5			3.86	-1.39	0.9	
41.40	280.53	177-1089B-5-2,144-145.5					0.8	
41.42	280.64	177-1089B-5-2,145.5-147			3.72	-0.70	0.3	
41.46	280.85	177-1089B-5-3,0-1.5			3.73	-0.74	3.6	
41.51	281.12	177-1089B-5-3,5-6.5	2.64	-0.31	3.61	-1.02	6.2	20.0
41.56	281.39	177-1089B-5-3,10-11.5			3.54	-0.52	7.3	
41.60	281.60	177-1089B-5-3,14-15.5	2.17	-0.27	3.59	0.11	8.4	
41.66	281.92	177-1089B-5-3,20-21.5			3.62	-0.52	7.8	
41.70	282.13	177-1089B-5-3,24-25.5			3.57	0.21	3.1	7.7
41.76	282.45	177-1089B-5-3,30-31.5					2.5	
41.80	282.67	177-1089B-5-3,34-35.5					0.8	
41.86	282.99	177-1089B-5-3,40-41.5	2.46	0.07			1.8	
41.90	283.20	177-1089B-5-3,44-45.5			3.33	-1.45	7.5	
41.96	283.52	177-1089B-5-3,50-51.5			3.46	-0.56	10.6	
42.01	283.79	177-1089B-5-3,55-56.5			3.50	-0.91	10.9	
42.06	284.05	177-1089B-5-3,60-61.5			3.51	-0.55	13.1	
42.10	284.27	177-1089B-5-3,64-65.5			3.45	-0.16	8.4	51.5
42.16	284.59	177-1089B-5-3,70-71.5			3.40	-0.50	12.1	
42.20	284.80	177-1089B-5-3,74-75.5	2.54	0.50			8.1	
42.26	285.12	177-1089B-5-3,80-81.5	2.53	0.71	3.43	-0.34	15.2	
42.30	285.33	177-1089B-5-3,84-85.5	2.48	0.40	3.29	-0.20	14.9	39.5
42.36	285.65	177-1089B-5-3,90-91.5			3.30	-0.73	14.0	
42.40	285.87	177-1089B-5-3,94-95.5			3.31	-0.12	14.0	
42.46	286.19	177-1089B-5-3,100-101.5	2.30	0.01	3.22	-0.19	20.1	
42.51	286.45	177-1089B-5-3,105-106.5			3.22	-0.14	24.7	60.1
42.56	286.72	177-1089B-5-3,110-111.5			3.20	-0.48	29.3	
42.60	286.93	177-1089B-5-3,114-115.5	2.19	0.51	3.21	-0.37	34.3	
42.66	287.25	177-1089B-5-3,120-121.5	1.71	0.01	3.07	-0.19	36.8	
42.70	287.47	177-1089B-5-3,124-125.5	2.27	0.46	3.08	-0.12	39.4	54.5
42.76	287.79	177-1089B-5-3,130-131.5	2.62	0.62	3.08	-0.48	40.2	
42.80	288.00	177-1089B-5-3,134-135.5	2.13	-0.07	3.17	-0.45	43.0	
42.86	288.41	177-1089B-5-3,140-141.5	2.01	-0.19	3.18	-0.44	45.6	
42.90	288.69	177-1089B-5-3,144-146.5	2.47	0.74	3.13	-0.59	45.7	65.2
42.96	289.10	177-1089B-5-4,0-1.5	2.42	0.51	3.21	-0.72	39.6	
43.00	289.38	177-1089B-5-4,4-5.5			3.26	-0.69	29.8	70.7
43.06	289.79	177-1089B-5-4,10-11.5			3.52	-0.74	19.1	
43.10	290.07	177-1089B-5-4,14-15.5	2.59	-0.11	3.40	-0.79	17.6	
43.16	290.48	177-1089B-5-4,20-21.5			3.64	-0.99	20.7	
43.20	290.76	177-1089B-5-4,24-25.5	2.00	-0.40			23.1	15.7
43.26	291.17	177-1089B-5-4,30-31.5	2.35	-0.16	3.39	-0.52	16.3	
43.30	291.45	177-1089B-5-4,34-35.5	2.28	-0.08	3.45	-0.97	19.8	
43.36	291.86	177-1089B-5-4,40-41.5			3.43	-0.62	15.4	
43.40	292.14	177-1089B-5-4,44-45.5			3.66	-0.46	13.8	68.9
43.46	292.55	177-1089B-5-4,50-51.5	2.54	-0.31	3.47	-0.69	9.8	
43.51	292.90	177-1089B-5-4,55-56.5			3.53	-1.04	9.4	
43.56	293.24	177-1089B-5-4,60-61.5			3.48	-1.06	11.8	
43.60	293.52	177-1089B-5-4,64-65.5	2.49	-0.17	3.54	-0.74	15.3	47.0
43.66	293.93	177-1089B-5-4,70-71.5	2.71	-0.02	3.54	-0.98	13.3	
43.70	294.21	177-1089B-5-4,74-75.5			3.56	-0.58	11.3	
43.76	294.62	177-1089B-5-4,80-81.5	2.39	0.03			2.3	
43.80	294.90	177-1089B-5-4,84-85.5	2.46	-0.19	3.58	-0.10	3.1	21.7
43.86	295.31	177-1089B-5-4,90-91.5	2.25	-0.22			3.8	
43.90	295.59	177-1089B-5-4,94-95.5	2.10	-0.29	3.52	-0.64	6.2	
43.96	296.00	177-1089B-5-4,100-101.5	2.46	0.25	3.62	-0.95	9.8	
44.01	296.18	177-1089B-5-4,105-106.5			3.09	-1.23	15.8	43.2
44.06	296.36	177-1089B-5-4,110-111.5			3.61	-0.49	16.4	
44.10	296.51	177-1089B-5-4,114-115.5			3.54	-0.85	21.6	
44.16	296.73	177-1089B-5-4,120-121.5			3.60	-0.78	16.9	
44.20	296.87	177-1089B-5-4,124-125.5			3.61	-0.40		
44.26	297.09	177-1089B-5-4,130-131.5			3.61	-0.47		
44.30	297.24	177-1089B-5-4,134-135.5			3.64	-0.71		
44.36	297.45	177-1089B-5-4,140-141.5			3.54	-0.59		
44.40	297.60	177-1089B-5-4,144-145.5			3.56	-0.53	5.7	
44.46	297.82	177-1089B-5-5,0-1.5					0.3	
44.50	297.96	177-1089B-5-5,4-5.5	2.76	0.17	3.36	-0.35	3.3	28.9
44.56	298.18	177-1089B-5-5,10-11.5					0.9	
44.60	298.33	177-1089B-5-5,14-15.5					1.3	
44.66	298.55	177-1089B-5-5,20-21.5					4.0	
44.70	298.69	177-1089B-5-5,24-25.5	2.30	-0.15	3.45	-0.79	5.8	37.5
44.76	298.91	177-1089B-5-5,30-31.5			3.46	-0.63	6.5	
44.80	299.05	177-1089B-5-5,34-35.5			3.46	-0.38	5.4	
44.86	299.27	177-1089B-5-5,40-41.5			3.51	-0.50	7.9	
44.90	299.42	177-1089B-5-5,44-45.5			3.41	-0.14	9.1	
44.96	299.64	177-1089B-5-5,50-51.5			3.40	-0.07	12.4	
45.01	299.82	177-1089B-5-5,55-56.5	2.54	-0.29			9.4	
45.06	300.00	177-1089B-5-5,60-61.5	2.29	0.30	3.45	-0.51	17.6	
45.10	300.15	177-1089B-5-5,64-65.5	2.03	0.09			16.6	22.4
45.16	300.36	177-1089B-5-5,70-71.5	2.22	0.09	3.31	-0.18	17.9	
45.20	300.51	177-1089B-5-5,74-75.5	2.18	0.37	3.27	-0.24	17.3	
45.26	300.73	177-1089B-5-5,80-81.5					4.8	56.9
45.30	300.87	177-1089B-5-5,84-85.5	2.48	0.71	3.37	-0.97	5.1	
45.36	301.09	177-1089B-5-5,90-91.5					3.8	
45.40	301.24	177-1089B-5-5,94-95.5			3.29	-0.32	6.2	
45.46	301.45	177-1089B-5-5,100-101.5			3.31	-0.43	9.8	10.6
45.51	301.64	177-1089B-5-5,105-106.5			3.56	-0.11	15.8	
45.56	301.82	177-1089B-5-5,110-111.5	2.43	0.22	3.38	-0.48	16.4	
45.60	301.96	177-1089B-5-5,114-115.5	2.34	0.26	3.42	-0.15	21.6	
45.66	302.18	177-1089B-5-5,120-121.5	2.02	0.10	3.30	-0.11	16.9	36.8
45.71	302.36	177-1089B-5-5,124-126	2.00	-0.15	3.28	-0.48	18.8	
45.76	302.55	177-1089B-5-5,130-132			3.34	-0.23	10.8	
45.81	302.73	177-1089B-5-5,134-136	2.16	0.35			14.9	
45.86	302.91	177-1089B-5-5,140-142			3.24	-0.20	14.8	82.5
45.91	303.09	177-1089B-5-5,144-146			3.28	-0.63	14.3	
46.01	303.45	177-1089B-5-6,5-6.5	1.85	-0.23	3.08	-0.41	18.5	
46.06	303.64	177-1089B-5-6,10-11.5	1.85	-0.01	3.17	-0.24	15.5	
46.11	303.82	177-1089B-5-6,14-15.5	2.02	0.35	3.19	-0.24	11.6	71.4
46.16	304.00	177-1089B-5-6,20-21.5	2.01	0.37	3.12	-0.76	10.3	
46.21	304.48	177-1089B-5-6,24-25.5	2.08	-0.34	3.07	-0.69	15.8	
46.26	304.97	177-1089B-5-6,30-31.5	2.19	0.27	3.09	-0.59	9.9	
46.31	305.45	177-1089C-6-1,115-116.5	1.83	-0.09	2.98	-0.59	5.0	87.9
46.36	305.94	177-1089C-6-1,120-121.5			2.93	-0.12	4.4	
46.41	306.42	177-1089C-6-1,125-126.5	2.21	0.41	2.88	-0.27	12.2	
46.46	306.90	177-1089C-6-1,130-131.5					5.8	73.6
46.51	307.39	177-1089C-6-1,135-136.5					0.2	
46.56	307.87	177-1089C-6-1,140-141.5					-0.3	
46.61	308.35	177-1089C-6-1,145-146.5					-0.3	
46.66	308.84	177-1089C-6-1,148.5-150					-0.3	100.0
46.71	309.32	177-1089C-6-2,5-6.5					-0.3	
46.76	309.81	177-1089C-6-2,10-11.5					-0.2	
46.81	310.29	177-1089C-6-2,15-16.5					-0.1	
46.86	310.77	177-1089C-6-2,20-21.5					0.4	75.0
46.91	311.26	177-1089C-6-2,25-26.5					-0.3	
46.96	311.74	177-1089C-6-2,30-31.5					-0.3	
47.01	312.23	177-1089C-6-2,35-36.5					0.0	
47.06	312.71	177-1089C-6-2,40-41.5					-0.2	26.4
47.11	313.19	177-1089C-6-2,45-46.5	1.99	-0.01			1.1	
47.16	313.68	177-1089C-6-2,50-51.5					0.3	
47.21	314.16	177-1089C-6-2,55-56.5					0.4	
47.26	314.65	177-1089C-6-2,60-61.5					0.3	79.2
47.31	315.13	177-1089C-6-2,65-66.5	2.05	0.49			0.6	
47.36	315.61	177-1089C-6-2,70-71.5					1.6	
47.41	316.10	177-1089C-6-2,75-76.5			2.74	-0.21	4.2	
47.46	316.58	177-1089C-6-2,80-81.5					3.2	92.3
47.51	317.06	177-1089C-6-2,85-86.5					4.3	
47.56	317.55	177-1089C-6-2,90-91.5			2.66	-0.82	6.5	
47.61	318.03	177-1089C-6-2,95-96.5					4.6	
47.66	318.52	177-1089C-6-2,100-101.5					4.8	89.8
47.71	319.00	177-1089C-6-2,105-106.5					3.5	
47.76	319.48	177-1089C-6-2,110-111.5					4.0	
47.81	319.97	177-1089C-6-2,115-116.5					5.9	
47.86	320.45	177-1089C-6-2,120-121.5			2.44	-1.46	10.1	67.5
47.91	320.94	177-1089C-6-2,125-126.5					10.4	
47.96	321.42	177-1089C-6-2,130-131.5			2.58	0.07	10.9	
48.01	321.90	177-1089C-6-2,135-136.5					11.6	
48.06	322.39	177-1089C-6-2,140-141.5					12.1	95.2
48.11	322.87	177-1089C-6-2,145-146.5			2.71	-0.22	13.8	
48.16	323.35	177-1089C-6-2,148-150					14.6	
48.21	323.84	177-1089C-6-3,4-5.5			2.51	-0.88	16.4	
48.26	324.32	177-1089C-6-3,10-11.5			2.52	-0.13	15.9	98.4
48.31	324.81	177-1089C-6-3,14-15.5					17.2	
48.36	325.29	177-1089C-6-3,20-21.5					16.4	
48.41	325.77	177-1089C-6-3,24-25.5			2.63	-0.06	17.8	
48.46	326.26	177-1089C-6-3,30-31.5			2.43	0.05	20.8	87.5
48.51	326.74	177-1089C-6-3,35-36.5					24.5	
48.56	327.23	177-1089C-6-3,40-41.5					24.5	
48.61	327.71	177-1089C-6-3,45-46.5					29.2	
48.66	328.19	177-1089C-6-3,50-51.5			2.32	-0.61	34.3	75.8
48.71	328.68	177-1089C-6-3,54-55.5			2.39	-0.31	38.6	
48.76	329.16	177-1089C-6-3,60-61.5			2.69	-0.52	43.3	
48.81	329.65	177-1089C-6-3,64-65.5			2.52	-0.45	46.8	
48.86	330.13	177-1089C-6-3,70-71.5	1.88	0.27	2.62	-0.61	51.5	54.9
48.91	330.61	177-1089C-6-3,74-75.5			2.48	-0.91	54.2	
48.96	331.10	177-1089C-6-3,80-81.5			2.71	-0.48	53.1	
49.01	331.58	177-1089C-6-3,85-86.5			2.72	-0.42	55.3	
49.06	332.06	177-1089C-6-3,90-91.5			2.78	-0.45	54.1	41.8
49.11	332.55	177-1089C-6-3,94-95.5			2.95	-0.55	51.0	
49.16	333.03	177-1089C-6-3,100-101.5			3.02	-0.45	54.6	
49.21	333.52	177-1089C-6-3,104-105.5			3.17	-0.73	53.8	
49.26	334.00	177-1089C-6-3,110-111.5			3.18	-0.63	52.0	65.9
49.31	334.18	177-1089C-6-3,114-115.5					53.3	
49.36	334.35	177-1089C-6-3,120-121.5			3.39	-0.28	52.7	
49.41	334.53	177-1089C-6-3,124-125.5			3.25	-0.56	52.9	
49.46	334.71	177-1089C-6-3,130-131.5			3.48	-1.26	49.3	70.5
49.51	334.88	177-1089C-6-3,135-136.5	1.97	-0.95	3.52	-1.09	48.4	
49.56	335.06	177-1089C-6-3,140-141.5			3.42	-0.46	50.8	
49.61	335.24	177-1089C-6-3,145-146.5			3.79	-0.57	50.7	
49.66	335.41	177-1089C-6-3,148.5-150	2.59	-0.06	3.70	-1.04	49.3	66.5
49.71	335.59	177-1089C-6-4,4-5.5	2.48	-0.17	3.74	-0.45	46.2	
49.76	335.76	177-1089C-6-4,10-11.5	2.65	-0.51	3.86	-0.25	43.7	
49.81	335.94	177-1089C-6-4,14-15.5			3.98	-0.83	41.6	
49.86	336.12	177-1089C-6-4,20-21.5	2.68	-0.58	3.91	-1.20	40.2	38.2
49.91	336.29	177-1089C-6-4,24-25.5	2.75	-0.44	3.89	-0.99	40.7	
49.96	336.47	177-1089C-6-4,30-31.5	2.78	-0.28	3.89	-0.97	38.2	
50.01	336.65	177-1089C-6-4,35-36.5	2.75	-0.55	3.89	-1.35	36.9	
50.06	336.82	177-1089C-6-4,40-41.5	2.78	-0.76	3.89	-0.99	37.0	60.3
50.11	337.00	177-1089C-6-4,44-45.5			3.91	-1.30	35.0	
50.16	337.18	177-1089C-6-4,50-51.5	2.45	-0.36	4.04	-1.30	33.9	
50.21	337.35	177-1089C-6-4,54-55.5	2.77	-0.72	3.95	-1.34	30.0	
50.26	337.53	177-1089C-6-4,60-61.5	2.80	-0.75	4.06	-1.29	29.8	17.9
50.31	337.71	177-1089C-6-4,64-65.5	2.80	-0.80	4.09	-1.55	28.8	
50.36	337.88	177-1089C-6-4,70-71.5	2.90	-0.40			28.2	
50.41	338.06	177-1089C-6-4,74-75.5	3.00	-0.18	4.10	-1.46	29.9	
50.46	338.24	177-1089C-6-4,80-81.5	2.39	-1.09	4.02	-1.29	33.8	19.5
50.51	338.41	177-1089C-6-4,85-86.5	2.63	-0.60	4.07	-1.41	36.3	
50.56	338.59	177-1089C-6-4,90-91.5	3.01	-0.24			37.7	
50.61	338.76	177-1089C-6-4,94-95.5	2.90	-0.45	4.15	-1.32	35.7	
50.66	338.94	177-1089C-6-4,100-101.5	3.18	-0.20	4.16	-1.35	37.9	18.8
50.71	339.12	177-1089C-6-4,104-105.5	3.40	0.43	4.05	-1.60	38.7	
50.81	339.47	177-1089C-6-4,114-115.5	3.08	0.00	3.99	-0.96	36.0	
50.86	339.65	177-1089C-6-4,120-121.5	3.36	0.06	4.15	-1.29	35.8	14.7
50.91	339.82	177-1089C-6-4,124-125.5	3.02	0.02	4.04	-0.37	37.3	
50.96	340.00	177-1089C-6-4,130-131.5			4.28	-0.78	34.0	
51.01	340.20	177-1089C-6-4,135-136.5	3.33	0.08	4.15	-1.15	36.7	
51.06	340.39	177-1089C-6-4,140-141.5	3.14	-0.09			35.3	44.2
51.11	340.59	177-1089C-6-4,144-145.5	3.36	0.12	4.23	-1.44	38.8	
51.16	340.79	177-1089C-6-4,148.5-150	3.09	-0.04	4.03	-1.36	39.6	
51.21	340.98	177-1089C-6-5,5-6.5	3.20	0.06	4.15	-1.04	38.6	
51.26	341.18	177-1089C-6-5,10-11.5			4.13	-1.26	37.3	16.9
51.31	341.38	177-1089C-6-5,14-15.5			4.18	-1.31	36.1	
51.35	341.54	177-1089B-6-2,15-16.5	3.37	-0.03			32.0	
51.40	341.73	177-1089B-6-2,19-20.5	3.15	-0.05			31.3	
51.45	341.93	177-1089B-6-2,25-26.5	2.96	-0.15			35.3	28.5
51.50	342.13	177-1089B-6-2,30-31.5	2.71	-0.31	4.08	-1.31	38.3	
51.55	342.32	177-1089B-6-2,35-36.5	3.30	0.49			38.3	
51.60	342.52	177-1089B-6-2,39-40.5	3.21	0.34	3.92	-1.05	38.6	
51.65	342.72	177-1089B-6-2,45-46.5	3.34	0.38	4.15	-0.74	39.8	27.4
51.70	342.91	177-1089B-6-2,49-50.5	3.30	0.39	4.10	-1.27	38.5	
51.75	343.11	177-1089B-6-2,55-56.5	3.48	0.30			38.5	
51.80	343.31	177-1089B-6-2,59-60.5	3.27	0.12	4.11	-0.74	38.5	
51.85	343.50	177-1089B-6-2,65-66.5	3.34	0.51	4.11	-1.08	39.3	28.6
51.90	343.70	177-1089B-6-2,69-70.5	3.57	0.66	4.18	-0.93	39.7	
51.95	343.90	177-1089B-6-2,75-76.5	3.46	0.71	3.98	-1.11	40.8	
52.00	344.09	177-1089B-6-2,79-80.5			4.10	-1.03	40.3	
52.05	344.29	177-1089B-6-2,85-86.5	3.25	0.45	4.03	-1.13	40.9	26.1
52.10	344.49	177-1089B-6-2,89-90.5	3.28	0.51	4.00	-1.36	38.9	
52.15	344.69	177-1089B-6-2,95-96.5	3.00	0.02	4.02	-1.23	42.6	
52.20	344.88	177-1089B-6-2,99-100.5	3.29	0.43	4.02	-0.80	45.4	
52.25	345.08	177-1089B-6-2,105-106.5	3.13	0.13	4.02	-1.18	43.2	24.7
52.30	345.28	177-1089B-6-2,109-110.5	3.10	0.25	3.90	-0.64	43.6	
52.35	345.47	177-1089B-6-2,115-116.5			3.90	-1.17	44.3	
52.40	345.67	177-1089B-6-2,119-120.5	3.11	0.44	3.91	-1.28	43.4	
52.45	345.87	177-1089B-6-2,125-126.5	2.96	0.09			44.4	29.2
52.50	346.06	177-1089B-6-2,129-130.5	3.20	0.41	4.02	-1.06	48.9	
52.55	346.26	177-1089B-6-2,135-136.5	3.08	0.04	3.93	-1.16	41.3	
52.60	346.46	177-1089B-6-2,139-140.5	2.91	0.13	3.82	-1.22	42.3	
52.65	346.65	177-1089B-6-2,145-146.5	2.99	0.06	3.93	-1.20	43.6	36.4
52.70	346.85	177-1089B-6-3,0-1.5	2.82	0.07	3.92	-0.92	47.8	
52.75	347.05	177-1089B-6-3,4-5.5	2.87	0.11	3.98	-0.95	48.3	
52.80	347.24	177-1089B-6-3,10-11.5	3.12	-0.03	3.88	-0.89	55.3	
52.85	347.44	177-1089B-6-3,15-16.5	3.23	0.25	4.00	-1.28	55.3	38.6
52.90	347.64	177-1089B-6-3,19-20.5	3.32	0.23	3.87	-0.97	54.2	
52.95	347.83	177-1089B-6-3,25-26.5	3.25	0.19	3.80	-0.88	48.5	
53.00	348.03	177-1089B-6-3,30-31.5	3.16	0.29	3.73	-1.21	49.1	
53.05	348.23	177-1089B-6-3,35-36.5	2.93	0.05	3.81	-1.14	52.5	40.6
53.10	348.43	177-1089B-6-3,39-40.5	3.07	-0.09	3.66	-0.79	50.8	
53.15	348.62	177-1089B-6-3,45-46.5	2.84	-0.01	3.68	-1.14	53.7	
53.20	348.82	177-1089B-6-3,49-50.5	2.88	0.25	3.79	-1.08	52.3	
53.25	349.02	177-1089B-6-3,55-56.5	2.90	0.06	3.65	-1.30	51.3	44.7
53.30	349.21	177-1089B-6-3,59-60.5	3.06	0.53	3.76	-1.22	47.9	
53.35	349.41	177-1089B-6-3,65-66.5	2.95	0.30	3.82	-1.17	45.7	
