/* DATA DESCRIPTION:
Citation:	Hodell, David A; Charles, Christopher D; Curtis, Jason H; Mortyn, P Graham; Ninnemann, Ulysses S; Venz, Kathryn A (2003): (Table T7) Stable oxygen and carbon isotope ratios of Neogloboquadrina pachyderma (sinistral) at ODP Site 177-1094 in the Southern Ocean [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.218134, 
	In supplement to: Hodell, DA et al. (2003): Data Report: Oxygen isotope stratigraphy of ODP Leg 117 sites 1088, 1089, 1090, 1093, and 1094. In: Gersonde, R; Hodell, DA; Blum, P (eds.) Proceedings of the Ocean Drilling Program, Scientific Results, College Station, TX (Ocean Drilling Program), 177, 1-26, https://doi.org/10.2973/odp.proc.sr.177.120.2003
Project(s):	Ocean Drilling Program (ODP) (URI: https://www-odp.tamu.edu:443/)
Coverage:	LATITUDE: -53.180350 * LONGITUDE: 5.130333
	DATE/TIME START: 1998-01-20T00:00:00 * DATE/TIME END: 1998-01-20T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.000 m * MAXIMUM DEPTH, sediment/rock: 90.970 m
Event(s):	177-1094 * LATITUDE: -53.180350 * LONGITUDE: 5.130333 * DATE/TIME: 1998-01-20T00:00:00 * ELEVATION: -2807.3 m * PENETRATION: 441.8 m * RECOVERY: 306.1 m * LOCATION: South Atlantic Ocean * CAMPAIGN: Leg177 * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 46 cores; 421.7 m cored; 20.1 m drilled; 72.6% recovery
Comment:	Depth is composite depth (mcd). Stable isotope analyses were conducted at the University of Florida (UF)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Sample code/label (Sample label) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: DSDP/ODP/IODP sample designation (URI: hdl:10013/epic.27914.d001)
	Neogloboquadrina pachyderma sinistral, δ18O [‰ PDB] (N. pachyderma s δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
	Neogloboquadrina pachyderma sinistral, δ13C [‰ PDB] (N. pachyderma s δ13C) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	3780 data points
*/
Depth sed [m]	Age [ka BP]	Sample label	N. pachyderma s δ18O [‰ PDB]	N. pachyderma s δ13C [‰ PDB]
87.680	529.000	177-1094A-10-4,24.5-27	3.63	0.13
87.740	529.260	177-1094A-10-4,30-32	3.72	0.03
87.790	529.470	177-1094A-10-4,35-37	3.68	0.08
87.840	529.680	177-1094A-10-4,40-42	3.71	-0.07
87.890	529.890	177-1094A-10-4,44.5-47	3.75	0.01
87.940	530.100	177-1094A-10-4,50-52	3.77	0.10
87.990	530.310	177-1094A-10-4,54.5-57	3.78	-0.02
88.040	530.520	177-1094A-10-4,60-62	3.79	-0.02
88.090	530.730	177-1094A-10-4,65-67	3.76	-0.01
88.110	530.810	177-1094A-10-4,67-69	3.66	0.11
88.180	531.110	177-1094A-10-4,74.5-77	3.72	-0.10
88.240	531.360	177-1094A-10-4,80-82	3.79	-0.08
88.290	531.570	177-1094A-10-4,84.5-87	3.81	-0.02
88.340	531.780	177-1094A-10-4,90-92	3.87	0.01
88.390	531.990	177-1094A-10-4,95-97	3.91	-0.10
88.440	532.200	177-1094A-10-4,100-102	3.99	0.06
88.490	532.410	177-1094A-10-4,104.5-107	3.92	0.01
88.540	532.620	177-1094A-10-4,110-112	3.76	0.08
88.580	532.790	177-1094A-10-4,114.5-117	3.88	0.12
88.640	533.040	177-1094A-10-4,120-122	4.06	0.08
88.690	533.250	177-1094A-10-4,125-127	3.94	0.04
88.740	533.460	177-1094A-10-4,130-132	3.80	0.08
88.790	533.670	177-1094A-10-4,134.5-137	3.91	0.08
88.840	533.880	177-1094A-10-4,140-142	3.96	-0.04
88.990	534.510	177-1094A-10-5,5-7	3.98	-0.02
89.040	534.720	177-1094A-10-5,10-12	3.95	0.08
89.080	534.890	177-1094A-10-5,14.5-17	3.89	0.12
89.140	535.140	177-1094A-10-5,20-22	4.07	0.13
89.180	535.310	177-1094A-10-5,24.5-27	4.09	0.01
89.240	535.560	177-1094A-10-5,30-32	3.89	0.00
89.290	535.770	177-1094A-10-5,35-37	4.13	0.09
89.340	535.980	177-1094A-10-5,40-42	4.24	-0.02
89.390	536.190	177-1094A-10-5,44.5-47	4.21	-0.09
89.440	536.400	177-1094A-10-5,50-52	4.27	-0.15
89.490	536.610	177-1094A-10-5,54.5-57	4.33	-0.25
89.570	536.950	177-1094D-8-1,65-67	4.32	-0.24
89.620	537.160	177-1094D-8-1,70-72	4.24	-0.09
89.670	537.370	177-1094D-8-1,75-77	4.73	-0.30
89.720	537.580	177-1094D-8-1,80-82	4.84	-0.33
89.770	537.790	177-1094D-8-1,85-87	4.62	-0.30
89.820	538.000	177-1094D-8-1,90-92	4.74	-0.32
89.870	538.210	177-1094D-8-1,95-97	4.57	-0.37
89.920	538.420	177-1094D-8-1,100-102	4.64	-0.37
89.970	538.630	177-1094D-8-1,105-107	4.63	-0.47
90.020	538.840	177-1094D-8-1,110-112	4.56	-0.40
90.120	539.260	177-1094D-8-1,120-122	4.41	-0.59
90.170	539.470	177-1094D-8-1,125-127	4.41	-0.53
90.220	539.680	177-1094D-8-1,130-132	4.34	-0.61
90.270	539.890	177-1094D-8-1,135-137	4.37	-0.51
90.320	540.100	177-1094D-8-1,140-142	4.47	-0.66
90.370	540.310	177-1094D-8-1,145-147	4.42	-0.53
90.420	540.520	177-1094D-8-2,0-2	4.39	-0.58
90.470	540.730	177-1094D-8-2,5-7	4.40	-0.50
90.520	540.940	177-1094D-8-2,10-12	4.38	-0.63
90.570	541.150	177-1094D-8-2,15-17	4.25	-0.61
90.620	541.360	177-1094D-8-2,20-22	4.23	-0.59
90.670	541.570	177-1094D-8-2,25-27	4.33	-0.67
90.720	541.780	177-1094D-8-2,30-32	4.28	-0.61
90.770	541.990	177-1094D-8-2,35-37	4.27	-0.58
90.820	542.200	177-1094D-8-2,40-42	4.29	-0.61
90.870	542.410	177-1094D-8-2,45-47	4.33	-0.56
90.920	542.620	177-1094D-8-2,50-52	4.71	-0.45
90.970	542.830	177-1094D-8-2,55-57	4.32	-0.46
